fecha,BBAR,BMA,CEPU,CRESY,EDN,GGAL,IRS,LOMA,PAM,SUPV,TEO,TGS,TS,TX,YPF
2025-12-04,16.69,88.28,17.19,11.68,34.2,51.78,15.17,12.32,91.15,11.46,12.87,31.68,41.34,38.6,36.64
2025-12-03,16.88,88.1,17.95,11.74,35.59,52.95,15.36,12.7,92.27,11.72,12.96,32.17,41.16,38.44,37.25
2025-12-02,15.87,82.66,16.55,11.34,33.77,51.1,14.88,12.29,89.36,10.92,12.63,30.85,39.79,37.68,36.11
2025-12-01,16.02,84.15,16.35,11.5,35.71,52.51,15.15,12.19,90.21,11.18,12.61,31.21,40.57,37.23,36.43
2025-11-28,16.06,85.78,15.9,11.93,34.75,53.43,15.45,12.48,90.67,11.24,12.62,31.3,40.22,36.83,36.82
2025-11-26,15.92,82.21,14.87,11.37,34.32,50.95,15.1,11.68,88.78,10.96,12.02,30.5,39.91,36.56,36.06
2025-11-25,14.38,76.49,14.15,10.52,30.74,48.76,14.2,11.32,85.86,10.26,11.69,29.18,39.62,35.86,35.34
2025-11-24,13.99,73.74,13.86,10.53,30.53,46.68,14.08,11.16,86.29,9.69,11.49,29.44,39.56,35.38,35.29
2025-11-21,13.95,74.72,13.77,10.49,29.73,46.02,15.91,11.15,85.39,9.62,11.85,29.42,39.95,35.91,35.7
2025-11-20,14.74,76.69,14.24,10.71,31.42,48.3,16.24,11.29,87.44,10.08,12.04,30.1,39.62,35.26,37.01
2025-11-19,15.42,79.2,14.72,11.02,32.44,49.58,16.79,11.55,89.31,10.75,12.87,30.76,40.33,35.74,38.67
2025-11-18,15.4,78.6,14.62,10.95,31.45,50.76,16.69,11.61,88.88,10.78,12.89,30.6,40.31,36.02,38.66
2025-11-17,15.49,79.82,14.82,10.88,30.71,51.32,16.23,11.71,87.77,11.04,13.07,29.96,40.21,36.09,38.48
2025-11-14,15.6,82.85,14.93,10.76,32.33,52.67,15.98,11.82,90.07,11.53,13.12,30.52,40.68,36.33,38.67
2025-11-13,15.28,83.15,14.61,10.64,31.08,53.46,15.62,11.46,86.96,11.11,12.77,30.04,40.96,36.32,37.24
2025-11-12,15.67,86.28,14.97,10.96,33.13,55.24,15.79,11.62,89.06,11.65,13.3,30.53,40.95,36.89,37.91
2025-11-11,15.5,84.37,14.98,10.98,32.3,55.04,15.41,11.32,87.62,11.38,12.7,30.34,41.28,35.75,37.52
2025-11-10,15.62,85.02,14.87,10.64,33.17,55.75,15.05,11.24,87.21,11.64,12.74,29.54,41.0,35.78,37.21
2025-11-07,15.78,86.22,14.53,10.55,32.69,55.34,14.99,10.8,86.51,11.81,11.89,28.63,40.58,36.29,36.26
2025-11-06,16.42,87.43,14.64,10.45,32.11,57.4,14.45,10.73,87.1,11.98,12.23,29.23,40.64,35.63,36.52
2025-11-05,17.11,88.89,15.47,10.89,33.33,59.01,14.61,11.16,87.44,12.68,12.41,29.78,40.11,35.93,37.02
2025-11-04,16.86,89.61,15.88,11.01,33.95,59.1,14.3,10.52,87.48,12.58,12.05,29.69,39.81,35.51,36.23
2025-11-03,17.16,90.88,16.32,11.45,35.25,60.63,15.28,10.69,88.58,12.86,12.05,30.5,40.73,35.96,37.06
2025-10-31,16.57,90.46,15.56,11.44,33.31,58.84,15.5,10.97,85.8,12.42,11.25,31.13,39.8,36.03,36.43
2025-10-30,15.17,84.85,14.22,10.85,30.58,53.52,14.76,10.26,80.98,11.11,10.65,30.49,39.94,35.4,34.59
2025-10-29,15.51,85.41,14.26,11.26,32.03,54.78,15.25,10.61,82.46,11.52,10.94,31.53,38.08,35.84,34.97
2025-10-28,14.84,82.58,13.53,11.19,28.18,52.14,15.19,10.42,78.14,10.57,10.98,30.94,37.7,37.87,33.85
2025-10-27,14.23,79.11,13.16,10.99,26.54,48.9,15.36,10.36,77.49,9.96,10.89,30.75,37.11,37.46,33.36
2025-10-24,10.11,57.48,9.45,8.67,19.38,35.26,11.79,7.85,62.62,6.73,7.92,22.48,35.79,36.15,26.95
2025-10-23,10.11,58.2,9.57,8.8,18.79,34.67,12.05,8.06,62.47,6.87,7.65,22.7,36.69,36.26,26.89
2025-10-22,9.52,55.4,8.94,8.55,17.57,32.86,11.59,7.7,60.24,6.04,7.27,21.9,35.36,35.6,24.75
2025-10-21,9.42,53.25,8.92,8.62,17.31,31.96,11.53,7.61,59.3,6.22,7.26,21.5,34.67,35.73,24.71
2025-10-20,9.41,52.75,9.29,8.8,17.74,31.93,11.38,7.62,60.23,6.15,7.62,21.66,34.78,36.28,25.12
2025-10-17,9.39,53.47,9.51,8.86,18.57,32.33,11.67,7.85,63.59,6.43,7.9,22.25,34.4,35.5,26.06
2025-10-16,9.58,52.83,9.68,8.85,18.78,33.05,11.72,7.85,64.81,6.26,7.75,22.32,34.36,35.31,26.38
2025-10-15,9.53,53.0,9.83,8.95,19.48,33.1,11.85,7.91,65.92,6.36,7.54,22.69,34.28,36.35,26.53
2025-10-14,9.41,50.86,8.85,8.87,19.18,32.05,11.81,7.81,63.94,5.98,7.42,22.37,34.37,36.28,26.05
2025-10-13,9.97,53.11,9.46,9.25,20.03,34.09,12.19,8.29,67.88,6.51,7.83,23.98,34.22,36.4,27.65
2025-10-10,9.19,51.0,8.43,8.82,16.62,32.97,11.71,7.7,63.46,5.72,7.49,22.35,33.69,35.21,26.42
2025-10-09,9.73,51.54,8.91,9.3,18.02,34.33,12.16,8.25,65.57,6.34,7.72,23.14,35.55,36.04,26.59
2025-10-08,8.32,43.88,7.93,8.73,16.42,28.22,11.34,7.79,61.05,4.98,7.26,21.05,36.42,36.95,24.4
2025-10-07,7.96,42.53,7.7,8.62,15.38,27.66,11.36,7.43,59.99,4.8,7.3,20.72,36.4,36.1,23.99
2025-10-06,8.37,43.55,7.83,8.58,15.52,28.65,11.5,7.59,60.52,5.05,7.53,21.27,36.17,36.11,24.62
2025-10-03,8.32,43.08,7.86,8.74,15.52,28.55,11.5,7.48,60.8,4.95,7.48,21.17,36.38,36.11,24.15
2025-10-02,8.27,41.89,7.98,8.73,15.62,27.81,11.66,7.41,60.61,4.99,7.45,20.78,35.97,35.3,23.81
2025-10-01,8.06,40.38,7.76,8.47,15.01,26.5,11.57,7.13,58.25,4.69,7.28,20.34,36.96,35.36,23.57
2025-09-30,8.32,42.29,8.01,8.51,15.56,27.42,11.84,7.37,60.06,4.95,7.27,21.03,35.77,34.73,24.29
2025-09-29,8.91,44.73,8.29,8.55,16.16,29.19,12.21,7.53,60.4,5.35,7.4,21.57,35.61,34.52,25.35
2025-09-26,8.84,45.34,8.64,8.52,16.6,29.3,11.97,7.62,61.88,5.4,7.41,21.9,35.36,34.48,26.05
2025-09-25,9.26,47.31,8.58,8.69,17.53,30.24,12.72,7.73,63.94,5.82,7.44,22.63,34.78,34.71,26.77
2025-09-24,10.16,49.26,9.0,8.89,19.13,32.62,13.24,7.96,66.15,6.31,7.6,23.16,34.68,34.44,27.73
2025-09-23,10.09,47.84,8.84,8.69,18.68,31.21,12.65,7.89,64.79,6.12,7.43,22.5,35.24,34.13,27.45
2025-09-22,9.85,47.21,8.67,8.82,18.21,31.72,12.95,8.13,63.71,6.22,7.43,22.65,34.77,34.13,26.92
2025-09-19,8.19,39.27,7.68,8.18,15.18,26.2,11.89,7.21,57.44,5.02,6.74,20.6,34.92,35.19,23.87
2025-09-18,8.31,40.43,7.74,8.07,15.42,27.04,11.52,7.13,56.55,5.15,6.52,20.12,35.12,35.16,24.41
2025-09-17,8.89,43.43,8.34,8.45,16.53,29.28,12.03,7.46,60.06,5.6,7.18,22.06,35.33,35.45,27.24
2025-09-16,8.95,43.85,8.63,8.15,17.21,29.96,11.94,7.66,61.75,5.51,7.29,22.25,36.29,35.4,27.71
