fecha,Depósitos del tesoro en pesos,Depósitos del tesoro en usd
2025-11-28,3587054.71,212.55
2025-11-27,4126817.46,239.28
2025-11-26,4201075.9,189.17
2025-11-25,4266162.39,145.62
2025-11-20,4310254.65,182.71
2025-11-19,4322032.74,178.87
2025-11-18,4380843.02,142.47
2025-11-17,4447511.03,111.27
2025-11-14,4727486.49,216.09
2025-11-13,4869945.96,118.87
2025-11-12,4870241.52,118.87
2025-11-11,4904436.48,98.98
2025-11-10,4904799.95,98.98
2025-11-07,4008871.91,100.29
2025-11-05,4008872.59,909.98
2025-11-04,5178291.54,148.21
2025-11-03,5178293.61,155.83
2025-10-31,5288728.15,91.94
2025-10-30,9813384.76,79.34
2025-10-29,9812989.71,83.31
2025-10-28,9813036.39,84.14
2025-10-27,11034208.57,77.14
2025-10-24,11743688.09,99.84
2025-10-23,11743478.47,99.84
2025-10-22,11743759.06,100.13
2025-10-21,11743525.21,100.14
2025-10-20,11743711.84,117.77
2025-10-17,11743757.66,156.57
2025-10-16,13864364.01,188.05
2025-10-15,13864415.84,188.15
2025-10-14,13864171.09,428.59
2025-10-13,14031486.73,308.36
2025-10-09,14031921.45,308.36
2025-10-08,14020060.03,316.67
2025-10-07,13517165.06,668.75
2025-10-06,13116702.88,948.75
2025-10-03,12422919.68,1439.82
2025-10-02,12085098.09,1678.14
2025-10-01,11792455.63,1783.89
2025-09-30,11061938.28,2327.4
2025-09-29,9394980.34,2426.8
2025-09-26,10078931.75,2217.23
2025-09-25,11895838.92,953.86
2025-09-24,12269280.05,692.64
2025-09-23,12243976.0,711.64
2025-09-22,12359488.7,626.94
2025-09-19,12360975.37,642.98
2025-09-18,12360890.8,642.98
2025-09-17,12359875.35,661.98
2025-09-16,12360875.09,640.14
2025-09-15,12359863.5,640.26
2025-09-12,12359788.05,1070.48
2025-09-11,12990729.33,1070.51
2025-09-10,12990947.45,1070.56
2025-09-09,12996700.77,1070.71
2025-09-08,12965533.31,1097.45
2025-09-05,12916856.53,1136.1
2025-09-04,12527542.08,1421.1
2025-09-03,12454320.09,1465.28
2025-09-02,12500890.88,1431.03
2025-09-01,12230148.35,1669.22
2025-08-29,12207766.9,1685.72
2025-08-28,11247218.04,1709.14
2025-08-27,11299875.47,1671.38
2025-08-26,11263793.53,1698.35
2025-08-25,11196553.23,1747.85
2025-08-22,12245488.02,1741.65
2025-08-21,12287526.87,1766.51
2025-08-20,12217936.47,1892.9
2025-08-19,12186704.26,1916.92
2025-08-18,8464588.34,1895.56
2025-08-14,14261047.54,1949.06
2025-08-13,14260804.29,2011.45
2025-08-12,14265778.03,1992.82
2025-08-11,14223854.05,2025.0
2025-08-08,14186447.09,4065.22
2025-08-07,14198398.17,4065.36
2025-08-06,14198364.38,4064.75
2025-08-05,14198403.85,4781.52
2025-08-04,14198403.85,4783.4
2025-08-01,14198421.72,2708.07
2025-07-31,14236967.81,2707.87
2025-07-30,17033638.72,2773.29
2025-07-29,17033517.54,2802.69
2025-07-28,17033415.48,1603.6
2025-07-25,17072642.03,1581.75
2025-07-24,17129253.41,1582.05
2025-07-23,17166541.44,1552.05
2025-07-22,17372134.54,1538.63
2025-07-21,17382030.54,1538.73
2025-07-18,17443181.1,1513.72
2025-07-17,13188131.13,886.3
