Trimestre,Aportes netos de capital,Fusiones y adquisiciones,Reinversión de utilidades,Transacciones de deuda,TOTAL
2025Q1,515.96,-1196.72,1483.18,-184.34,618.08
2024Q4,899.75,-806.41,1405.93,-1407.7,91.57
2024Q3,876.35,-29.78,1540.26,818.73,3205.56
2024Q2,945.75,62.98,221.02,1025.83,2255.58
2024Q1,720.15,314.59,2439.99,3032.75,6507.49
2023Q4,1099.07,-412.78,2259.77,4883.03,7829.1
2023Q3,605.42,-2.91,2138.56,4492.82,7233.89
2023Q2,704.35,-41.42,1242.65,4510.17,6415.75
2023Q1,381.65,8.79,1970.33,2346.19,4706.96
2022Q4,845.23,-74.73,1393.53,-1173.55,990.47
2022Q3,522.6,-51.49,1298.27,4995.97,6765.34
2022Q2,487.85,99.97,1390.8,3768.75,5747.37
2022Q1,520.83,-261.69,1422.66,2189.42,3871.21
2021Q4,1410.84,54.53,1305.17,167.85,2938.4
2021Q3,564.91,-6.58,1473.71,-1117.28,914.76
2021Q2,764.36,35.11,1329.14,771.45,2900.06
2021Q1,580.1,25.79,888.01,1368.59,2862.49
2020Q4,939.17,237.66,415.52,559.31,2151.66
2020Q3,563.4,11.86,429.96,787.4,1792.62
2020Q2,926.92,12.55,112.29,-1081.21,-29.46
2020Q1,885.42,171.85,543.53,766.48,2367.29
2019Q4,2262.74,9.86,1071.35,-1060.8,2283.15
2019Q3,2224.37,3.64,650.79,2154.81,5033.61
2019Q2,1363.6,-774.39,951.39,1636.47,3177.07
2019Q1,2004.47,-87.38,1354.77,-467.35,2804.51
2018Q4,5035.39,-4.96,535.26,-1527.66,4038.03
2018Q3,1680.1,317.53,1615.98,2203.71,5817.32
2018Q2,3032.06,-82.33,463.53,655.36,4068.62
2018Q1,2762.35,-7.6,1054.26,1508.46,5317.47
2017Q4,1697.99,-225.47,1316.05,2318.65,5107.23
2017Q3,1652.17,-87.81,779.42,1797.77,4141.55
2017Q2,1712.58,-612.93,808.85,602.12,2510.62
2017Q1,1629.61,-484.3,733.95,1265.91,3145.17
