fecha,Plazo fijo,TAMAR,BADLAR,TM20,Préstamos personales,Adelantos en cuenta corriente,Call en Pesos,Repo a 1 día (excl. BCRA)
2025-10-17,51.07,54.06,50.81,52.38,84.34,85.06,60.63,50.46
2025-10-16,58.67,61.88,56.94,59.31,82.87,144.8,102.8,105.5
2025-10-15,55.37,64.81,54.5,58.19,82.88,190.76,143.45,157.17
2025-10-14,49.51,57.19,49.44,52.19,81.92,129.4,126.18,115.2
2025-10-13,45.69,52.25,45.44,47.56,87.3,83.64,83.42,77.5
2025-10-09,48.48,53.69,48.31,50.31,84.08,79.29,73.12,72.29
2025-10-08,43.53,49.88,44.25,46.19,83.3,66.88,63.5,65.77
2025-10-07,44.12,47.25,43.69,45.06,82.86,52.92,50.89,51.63
2025-10-06,40.84,44.56,40.69,41.94,84,46.13,40.77,39.44
2025-10-03,40.71,44.06,40.5,41.75,82.15,45.06,38.84,38.31
2025-10-02,41.28,43.0,41.06,41.88,82.18,44.54,38.45,36.36
2025-10-01,41.03,43.06,40.75,41.62,80.88,44.38,41.05,35.07
2025-09-30,39.65,40.25,39.56,39.94,76.71,44.06,36.97,32.73
2025-09-29,39.36,41.06,39.31,40.0,82.48,45.16,32.41,26.13
2025-09-26,39.12,40.69,38.75,39.56,79.57,48.07,33.19,30.33
2025-09-25,40.26,41.19,39.81,40.44,81.04,50.05,34.18,30.6
2025-09-24,43.31,44.19,43.31,43.81,80.88,51.66,36.91,30.83
2025-09-23,47.1,49.25,46.5,47.56,80.99,54.76,46.67,47.34
2025-09-22,44.96,47.19,44.81,45.75,84.15,53.39,46.09,44.85
2025-09-19,45.36,47.25,45.06,45.88,81.81,50.43,43.03,38.21
2025-09-18,44.72,46.5,44.69,45.44,80.14,49.34,41.07,35.52
2025-09-17,43.59,44.75,43.38,43.94,80.65,48.79,39.77,34.36
2025-09-16,44.22,44.44,43.94,44.25,81.62,49.57,39.53,35.34
2025-09-15,45.03,46.25,44.81,45.44,84.76,50.53,42.33,36.81
2025-09-12,46.99,49.25,47.19,47.94,82.5,52.77,39.72,36.52
2025-09-11,50.27,52.5,50.31,51.44,84.3,56.21,39.61,33.08
2025-09-10,51.7,57.88,51.94,54.0,84.98,59.81,42.27,32.27
2025-09-09,57.76,64.25,57.75,60.31,80.82,65.82,51.71,44.82
2025-09-08,56.02,63.0,55.62,58.56,85.75,73.77,65.93,61.77
2025-09-05,55.96,62.69,54.69,57.31,82.46,66.25,54.34,50.33
2025-09-04,58.73,66.38,57.88,61.0,80.39,67.15,58.16,49.66
2025-09-03,56.03,64.62,55.0,58.12,78.04,70.61,60.67,50.7
2025-09-02,59.11,61.81,56.5,58.75,77.92,73.64,63.36,55.37
2025-09-01,58.6,65.75,56.88,60.12,83.85,76.09,70.53,57.77
2025-08-29,57.87,63.69,57.25,59.69,76.74,77.73,67.11,59.79
2025-08-28,58.38,64.88,58.25,60.81,77.83,81.46,68.31,57.85
2025-08-27,54.32,61.56,54.0,56.75,74.77,83.84,67.95,59.29
2025-08-26,56.71,62.69,56.31,58.94,74.52,86.78,76.61,66.472
2025-08-25,49.6,58.94,49.62,52.31,79.68,86.37,73.97,69.48
2025-08-22,51.15,55.94,50.44,52.38,74.31,86.94,71.39,70.85
2025-08-21,51.15,54.0,50.75,52.19,74.74,82.28,72.28,68.72
2025-08-20,53.57,58.12,52.81,54.75,74.54,74.32,64.12,46.14
