fecha,Préstamos en dólares,Depósitos en dólares
2025-11-10,17928,34992
2025-11-07,17966,35001
2025-11-05,18026,35005
2025-11-04,18104,35024
2025-11-03,18145,35073
2025-10-31,18253,35109
2025-10-30,18367,35053
2025-10-29,18384,35026
2025-10-28,18374,35113
2025-10-27,18450,35232
2025-10-24,18410,35117
2025-10-23,18325,35199
2025-10-22,18266,35266
2025-10-21,18198,35207
2025-10-20,18118,35130
2025-10-17,18160,35079
2025-10-16,18195,35133
2025-10-15,18214,35061
2025-10-14,18262,34954
2025-10-13,18162,34999
2025-10-09,18276,34511
2025-10-08,18213,34453
2025-10-07,18305,34476
2025-10-06,18357,34338
2025-10-03,18571,34448
2025-10-02,18590,34332
2025-10-01,18703,34186
2025-09-30,18892,33946
2025-09-29,18787,33726
2025-09-26,18728,33598
2025-09-25,18723,33232
2025-09-24,18600,32875
2025-09-23,18526,32678
2025-09-22,18478,32545
2025-09-19,18427,32590
2025-09-18,18395,32408
2025-09-17,18358,32274
2025-09-16,18255,32239
2025-09-15,18160,32241
2025-09-12,18104,32354
2025-09-11,18110,32237
2025-09-10,18066,32262
2025-09-09,18101,32272
2025-09-08,18044,32216
2025-09-05,18065,32244
2025-09-04,18081,32332
2025-09-03,18125,32279
2025-09-02,18114,32269
2025-09-01,18085,32262
2025-08-29,18310,32304
2025-08-28,17999,32267
2025-08-27,17848,32270
2025-08-26,17828,32220
2025-08-25,17682,32203
2025-08-22,17632,32323
2025-08-21,17582,32380
2025-08-20,17539,32432
2025-08-19,17480,32426
2025-08-18,17290,32424
2025-08-14,17242,32341
2025-08-13,17139,32446
2025-08-12,17068,32458
2025-08-11,16961,32338
2025-08-08,16959,32281
2025-08-07,17032,32296
2025-08-06,17038,32269
2025-08-05,16996,32089
2025-08-04,17029,32384
2025-08-01,17133,32507
2025-07-31,17223,32583
2025-07-30,17103,32585
2025-07-29,17075,32557
2025-07-28,16976,32696
2025-07-25,16984,32809
2025-07-24,16868,32946
2025-07-23,16842,32923
2025-07-22,16766,32954
2025-07-21,16627,32864
2025-07-18,16616,32774
2025-07-17,16565,32645
2025-07-16,16568,32617
2025-07-15,16549,32640
2025-07-14,16506,32468
