fecha,Adelantos,Documentos,Hipotecarios,Prendarios,Personales,Tarjetas,Otros,TOTAL
2025-10-14,9073442.0,19278702.0,5484623.0,5580059.0,18251189.0,19966158.0,4605776.0,82239949.0
2025-10-13,9022095.0,19412524.0,5459852.0,5587518.0,18223657.0,19703279.0,4617245.0,82026170.0
2025-10-09,8802844.0,19314799.0,5439520.0,5608910.0,18258518.0,20507261.0,4617617.0,82549469.0
2025-10-08,8734162.0,19118734.0,5417411.0,5621905.0,18199125.0,20896778.0,4650479.0,82638594.0
2025-10-07,8653281.0,18960844.0,5389684.0,5626453.0,18168844.0,21471979.0,4643011.0,82914096.0
2025-10-06,8551357.0,18940547.0,5359319.0,5621013.0,18143174.0,21343370.0,4642930.0,82601710.0
2025-10-03,8227885.0,18879658.0,5341080.0,5643013.0,18137256.0,21755602.0,4648526.0,82633020.0
2025-10-02,8223251.0,18749601.0,5316405.0,5630800.0,18115018.0,21695213.0,4638231.0,82368519.0
2025-10-01,8312291.0,18695257.0,5295008.0,5617815.0,18094258.0,21556579.0,4640709.0,82211917.0
2025-09-30,8024914.0,18720953.0,5266658.0,5547829.0,18134809.0,21094448.0,4584642.0,81374253.0
2025-09-29,7859063.0,18683693.0,5242807.0,5553800.0,18144042.0,21311839.0,4498304.0,81293548.0
2025-09-26,7626902.0,18719058.0,5217231.0,5522867.0,18121220.0,20738881.0,4387628.0,80333787.0
2025-09-25,7733891.0,18666066.0,5191424.0,5487206.0,18107270.0,20624341.0,4382451.0,80192649.0
2025-09-24,7830583.0,18639884.0,5161209.0,5473735.0,18084901.0,20452154.0,4396875.0,80039341.0
2025-09-23,7907314.0,18616672.0,5135391.0,5468454.0,18067614.0,20347880.0,4397043.0,79940368.0
2025-09-22,7839648.0,18777701.0,5116515.0,5462576.0,18040668.0,19949460.0,4419616.0,79606184.0
2025-09-19,7717877.0,18849994.0,5095607.0,5467609.0,18003872.0,19646613.0,4435090.0,79216662.0
2025-09-18,7724704.0,18788944.0,5066898.0,5448320.0,17975360.0,19571895.0,4405976.0,78982097.0
2025-09-17,7739778.0,18772842.0,5042837.0,5447912.0,17948269.0,19404884.0,4423771.0,78780293.0
2025-09-16,7876620.0,18762770.0,5019536.0,5445395.0,17922790.0,19298694.0,4447235.0,78773040.0
2025-09-15,7858075.0,18893197.0,5000668.0,5435775.0,17914253.0,18966824.0,4476113.0,78544905.0
2025-09-12,7709237.0,19020178.0,4982126.0,5428032.0,17882136.0,18749477.0,4506412.0,78277598.0
2025-09-11,7837545.0,18967743.0,4958867.0,5416476.0,17850666.0,18587036.0,4539208.0,78157541.0
2025-09-10,7965719.0,18959004.0,4933813.0,5410793.0,17822607.0,18554278.0,4555203.0,78201417.0
2025-09-09,7916764.0,18912331.0,4911924.0,5419821.0,17893710.0,18723494.0,4603986.0,78382030.0
2025-09-08,7873088.0,18988212.0,4889802.0,5413800.0,17852293.0,18846675.0,4634387.0,78498257.0
2025-09-05,7714533.0,18972188.0,4872152.0,5418137.0,17812504.0,19332235.0,4654739.0,78776488.0
2025-09-04,7574645.0,18828298.0,4846242.0,5400022.0,17778427.0,19813715.0,4638608.0,78879957.0
2025-09-03,7566119.0,18716950.0,4817102.0,5368542.0,17788023.0,20354776.0,4669179.0,79280691.0
2025-09-02,7781335.0,18701491.0,4792978.0,5362290.0,17742080.0,20766696.0,4693868.0,79840738.0
2025-09-01,7522412.0,18909295.0,4768028.0,5338367.0,17734967.0,20760987.0,4659841.0,79693897.0
2025-08-29,7446875.0,18956068.0,4746874.0,5316879.0,17721163.0,21122503.0,4608617.0,79918979.0
2025-08-28,7755513.0,18861624.0,4720736.0,5258949.0,17730652.0,20954332.0,4548272.0,79830078.0
2025-08-27,7892057.0,18746565.0,4690546.0,5249512.0,17704728.0,20721075.0,4465322.0,79469805.0
