fecha,Adelantos,Documentos,Hipotecarios,Prendarios,Personales,Tarjetas,Otros,TOTAL
2025-10-07,198.0,13433.0,505.0,1019.0,0.0,576.0,2564.0,18295.0
2025-10-06,198.0,13478.0,505.0,1017.0,0.0,577.0,2565.0,18340.0
2025-10-03,199.0,13590.0,505.0,1012.0,0.0,694.0,2575.0,18575.0
2025-10-02,211.0,13604.0,504.0,1011.0,0.0,710.0,2550.0,18590.0
2025-10-01,214.0,13699.0,504.0,1011.0,0.0,724.0,2551.0,18703.0
2025-09-30,214.0,13703.0,501.0,1009.0,0.0,743.0,2554.0,18724.0
2025-09-29,224.0,13795.0,498.0,1006.0,0.0,710.0,2554.0,18787.0
2025-09-26,228.0,13736.0,497.0,1006.0,0.0,714.0,2547.0,18728.0
2025-09-25,221.0,13801.0,497.0,1005.0,0.0,698.0,2501.0,18723.0
2025-09-24,224.0,13725.0,495.0,969.0,0.0,693.0,2494.0,18600.0
2025-09-23,234.0,13700.0,491.0,969.0,0.0,675.0,2457.0,18526.0
2025-09-22,233.0,13695.0,488.0,970.0,0.0,633.0,2459.0,18478.0
2025-09-19,230.0,13679.0,486.0,970.0,0.0,607.0,2455.0,18427.0
2025-09-18,232.0,13661.0,484.0,968.0,0.0,603.0,2447.0,18395.0
2025-09-17,232.0,13656.0,482.0,968.0,0.0,587.0,2433.0,18358.0
2025-09-16,232.0,13591.0,481.0,968.0,0.0,572.0,2411.0,18255.0
2025-09-15,232.0,13541.0,480.0,968.0,0.0,530.0,2409.0,18160.0
2025-09-12,234.0,13518.0,480.0,968.0,0.0,505.0,2399.0,18104.0
2025-09-11,233.0,13554.0,479.0,970.0,0.0,485.0,2389.0,18110.0
2025-09-10,232.0,13546.0,477.0,970.0,0.0,466.0,2375.0,18066.0
2025-09-09,231.0,13603.0,477.0,971.0,0.0,452.0,2367.0,18101.0
2025-09-08,231.0,13594.0,472.0,970.0,0.0,414.0,2363.0,18044.0
2025-09-05,231.0,13592.0,469.0,970.0,0.0,436.0,2367.0,18065.0
2025-09-04,233.0,13571.0,467.0,970.0,0.0,475.0,2365.0,18081.0
2025-09-03,232.0,13562.0,466.0,969.0,0.0,526.0,2370.0,18125.0
2025-09-02,232.0,13548.0,465.0,969.0,0.0,566.0,2334.0,18114.0
2025-09-01,232.0,13533.0,462.0,969.0,0.0,553.0,2336.0,18085.0
2025-08-29,232.0,13511.0,466.0,965.0,0.0,625.0,2481.0,18280.0
2025-08-28,231.0,13389.0,460.0,965.0,0.0,644.0,2310.0,17999.0
2025-08-27,230.0,13327.0,458.0,964.0,0.0,635.0,2234.0,17848.0
2025-08-26,230.0,13307.0,455.0,962.0,0.0,640.0,2234.0,17828.0
2025-08-25,230.0,13189.0,456.0,961.0,0.0,614.0,2232.0,17682.0
2025-08-22,229.0,13145.0,456.0,961.0,0.0,609.0,2232.0,17632.0
2025-08-21,228.0,13121.0,453.0,960.0,0.0,593.0,2227.0,17582.0
2025-08-20,228.0,13094.0,456.0,958.0,0.0,575.0,2228.0,17539.0
2025-08-19,228.0,13065.0,456.0,957.0,0.0,563.0,2211.0,17480.0
2025-08-18,227.0,12907.0,453.0,953.0,0.0,529.0,2221.0,17290.0
2025-08-14,229.0,12910.0,453.0,951.0,0.0,487.0,2212.0,17242.0
2025-08-13,228.0,12855.0,433.0,950.0,0.0,464.0,2209.0,17139.0
2025-08-12,227.0,12794.0,430.0,951.0,0.0,463.0,2203.0,17068.0
2025-08-11,227.0,12746.0,427.0,952.0,0.0,469.0,2140.0,16961.0
2025-08-08,226.0,12748.0,428.0,948.0,0.0,473.0,2136.0,16959.0
2025-08-07,214.0,12752.0,428.0,947.0,0.0,555.0,2136.0,17032.0
2025-08-06,213.0,12730.0,427.0,947.0,0.0,590.0,2131.0,17038.0
2025-08-05,212.0,12643.0,422.0,947.0,0.0,652.0,2120.0,16996.0
2025-08-04,219.0,12649.0,422.0,947.0,0.0,672.0,2120.0,17029.0
2025-08-01,221.0,12635.0,421.0,947.0,0.0,789.0,2120.0,17133.0
2025-07-31,220.0,12632.0,421.0,940.0,0.0,764.0,2246.0,17223.0
2025-07-30,219.0,12611.0,420.0,941.0,0.0,801.0,2111.0,17103.0
2025-07-29,219.0,12569.0,418.0,940.0,0.0,785.0,2144.0,17075.0
2025-07-28,219.0,12519.0,418.0,938.0,0.0,760.0,2122.0,16976.0
2025-07-25,219.0,12557.0,419.0,934.0,0.0,756.0,2099.0,16984.0
2025-07-24,209.0,12471.0,418.0,934.0,0.0,736.0,2100.0,16868.0
2025-07-23,208.0,12461.0,417.0,934.0,0.0,722.0,2100.0,16842.0
2025-07-22,207.0,12412.0,417.0,933.0,0.0,700.0,2097.0,16766.0
2025-07-21,199.0,12333.0,417.0,931.0,0.0,654.0,2093.0,16627.0
2025-07-18,199.0,12352.0,417.0,931.0,0.0,629.0,2088.0,16616.0
2025-07-17,200.0,12360.0,417.0,930.0,0.0,622.0,2036.0,16565.0
2025-07-16,195.0,12394.0,414.0,930.0,0.0,598.0,2037.0,16568.0
2025-07-15,195.0,12401.0,410.0,931.0,0.0,580.0,2032.0,16549.0
2025-07-14,199.0,12410.0,408.0,928.0,0.0,532.0,2029.0,16506.0
2025-07-11,199.0,12497.0,408.0,928.0,0.0,508.0,2018.0,16558.0
2025-07-10,209.0,12507.0,406.0,927.0,0.0,472.0,2017.0,16538.0
2025-07-08,209.0,12489.0,406.0,926.0,0.0,446.0,1987.0,16463.0
2025-07-07,207.0,12513.0,404.0,925.0,0.0,440.0,1989.0,16478.0
2025-07-04,204.0,12444.0,404.0,926.0,0.0,466.0,1981.0,16425.0
2025-07-03,188.0,12412.0,403.0,925.0,0.0,513.0,1964.0,16405.0
2025-07-02,189.0,12291.0,403.0,924.0,0.0,577.0,1859.0,16243.0
2025-07-01,189.0,12267.0,402.0,924.0,0.0,607.0,1872.0,16261.0
2025-06-30,195.0,12199.0,403.0,922.0,0.0,629.0,1868.0,16216.0
2025-06-27,195.0,12206.0,412.0,920.0,0.0,684.0,1871.0,16288.0
2025-06-26,194.0,12201.0,395.0,918.0,0.0,681.0,1872.0,16261.0
2025-06-25,227.0,12186.0,392.0,917.0,0.0,683.0,1871.0,16276.0
2025-06-24,194.0,12169.0,393.0,913.0,0.0,674.0,1713.0,16056.0
2025-06-23,195.0,12109.0,391.0,911.0,0.0,625.0,1702.0,15933.0
2025-06-19,221.0,12131.0,391.0,910.0,0.0,637.0,1689.0,15979.0
2025-06-18,219.0,12113.0,391.0,912.0,0.0,597.0,1693.0,15925.0
2025-06-17,217.0,12051.0,391.0,911.0,0.0,546.0,1674.0,15790.0
2025-06-13,217.0,12098.0,390.0,913.0,0.0,522.0,1656.0,15796.0
2025-06-12,216.0,12051.0,391.0,912.0,0.0,507.0,1641.0,15718.0
2025-06-11,227.0,12057.0,392.0,885.0,0.0,489.0,1640.0,15690.0
2025-06-10,247.0,11909.0,392.0,885.0,0.0,483.0,1636.0,15552.0
2025-06-09,248.0,11915.0,392.0,884.0,0.0,474.0,1628.0,15541.0
2025-06-06,247.0,11910.0,392.0,885.0,0.0,447.0,1639.0,15520.0
2025-06-05,246.0,11867.0,392.0,885.0,0.0,533.0,1633.0,15556.0
2025-06-04,247.0,11855.0,392.0,884.0,0.0,564.0,1610.0,15552.0
2025-06-03,247.0,11823.0,392.0,885.0,0.0,516.0,1608.0,15471.0
2025-06-02,246.0,11810.0,387.0,882.0,0.0,602.0,1603.0,15530.0
2025-05-30,246.0,11846.0,387.0,881.0,0.0,672.0,1601.0,15633.0
2025-05-29,246.0,11831.0,384.0,879.0,0.0,709.0,1630.0,15679.0
2025-05-28,245.0,11787.0,379.0,878.0,0.0,711.0,1687.0,15687.0
2025-05-27,245.0,11763.0,378.0,875.0,0.0,700.0,1682.0,15643.0
2025-05-26,246.0,11676.0,378.0,874.0,0.0,666.0,1607.0,15447.0
2025-05-23,245.0,11687.0,374.0,873.0,0.0,666.0,1605.0,15450.0
2025-05-22,245.0,11665.0,375.0,871.0,0.0,649.0,1590.0,15395.0
2025-05-21,240.0,11623.0,374.0,869.0,0.0,628.0,1528.0,15262.0
2025-05-20,235.0,11594.0,373.0,868.0,0.0,615.0,1570.0,15255.0
2025-05-19,226.0,11598.0,372.0,865.0,0.0,560.0,1571.0,15192.0
2025-05-16,227.0,11560.0,371.0,864.0,0.0,537.0,1570.0,15129.0
2025-05-15,230.0,11522.0,371.0,865.0,0.0,530.0,1570.0,15088.0
2025-05-14,230.0,11461.0,368.0,864.0,0.0,512.0,1569.0,15004.0
2025-05-13,234.0,11431.0,369.0,863.0,0.0,499.0,1567.0,14963.0
2025-05-12,243.0,11281.0,369.0,859.0,0.0,463.0,1537.0,14752.0
2025-05-09,243.0,11196.0,369.0,857.0,0.0,488.0,1521.0,14674.0
2025-05-08,241.0,11164.0,369.0,854.0,0.0,551.0,1498.0,14677.0
2025-05-07,249.0,11046.0,370.0,853.0,0.0,592.0,1495.0,14605.0
2025-05-06,249.0,10961.0,369.0,850.0,0.0,641.0,1486.0,14556.0
2025-05-05,252.0,10925.0,369.0,847.0,0.0,647.0,1483.0,14523.0
2025-04-30,250.0,10867.0,370.0,843.0,0.0,681.0,1498.0,14509.0
2025-04-29,250.0,10860.0,367.0,845.0,0.0,743.0,1494.0,14559.0
2025-04-28,250.0,10780.0,366.0,844.0,0.0,713.0,1493.0,14446.0
2025-04-25,248.0,10774.0,365.0,839.0,0.0,720.0,1469.0,14415.0
2025-04-24,247.0,10759.0,365.0,831.0,0.0,704.0,1465.0,14371.0
2025-04-23,246.0,10749.0,363.0,836.0,0.0,682.0,1471.0,14347.0
2025-04-22,245.0,10699.0,363.0,839.0,0.0,672.0,1488.0,14306.0
