fecha,Adelantos,Documentos,Hipotecarios,Prendarios,Personales,Tarjetas,Otros,TOTAL
2025-11-10,9251702,19412413,5922593,5652524,18482257,19923862,4593129,83238480
2025-11-07,8590036,19423409,5910563,5674761,18538521,19957504,4587694,82682488
2025-11-05,8599939,19251827,5892145,5681160,18546589,20826001,4585134,83382795
2025-11-04,8594996,19106180,5873143,5707283,18542286,21727762,4583985,84135635
2025-11-03,8629085,19164293,5858909,5692841,18521781,21767064,4616682,84250655
2025-10-31,8199908,19253356,5837339,5687400,18505301,21612906,4533422,83629632
2025-10-30,8279007,19195886,5821626,5663702,18573186,22031463,4500218,84065088
2025-10-29,8229833,19135671,5803663,5629796,18560992,21765566,4493792,83619313
2025-10-28,8437775,19140549,5780915,5628196,18552729,21768571,4505383,83814118
2025-10-27,8426015,19278450,5766825,5629660,18530303,21257759,4512335,83401347
2025-10-24,8492284,19386812,5757410,5623140,18504173,20695550,4443380,82902749
2025-10-23,8540112,19297855,5709175,5613972,18499843,20509828,4421763,82592548
2025-10-22,8545019,19274901,5664079,5614976,18480734,20333950,4419929,82333588
2025-10-21,8638549,19208120,5623485,5608256,18466081,20226439,4431290,82202220
2025-10-20,8698781,19302932,5587576,5610709,18410735,19762083,4486001,81858817
2025-10-17,8635762,19343399,5561621,5609986,18347411,19515782,4486801,81500762
2025-10-16,8727207,19270756,5536296,5606414,18315597,19436844,4528968,81422082
2025-10-15,8860605,19258500,5512597,5599143,18285576,19519424,4531492,81567337
2025-10-14,9081389,19242264,5485578,5579522,18251258,20024174,4558907,82223092
2025-10-13,9043431,19394251,5460807,5587012,18223168,19883701,4569542,82161912
2025-10-09,8805546,19314369,5440475,5608530,18258190,20591453,4574129,82592692
2025-10-08,8734315,19118328,5418366,5621684,18198533,20896551,4645028,82632805
2025-10-07,8653386,18960458,5390639,5626412,18168256,21471245,4637470,82907866
2025-10-06,8551691,18940139,5360274,5620989,18142583,21343602,4638536,82597814
2025-10-03,8227885,18879252,5342035,5643006,18136669,21755607,4644441,82628895
2025-10-02,8223251,18749194,5317360,5630797,18114430,21697607,4639876,82372515
2025-10-01,8312291,18694851,5295963,5617813,18093670,21558973,4644448,82218009
2025-09-30,8016423,18726898,5267265,5550924,18088574,21521553,4581049,81752686
2025-09-29,7859063,18683693,5242807,5553800,18144042,21311839,4498304,81293548
2025-09-26,7626902,18719058,5217231,5522867,18121220,20738881,4387628,80333787
2025-09-25,7733891,18666066,5191424,5487206,18107270,20624341,4382451,80192649
2025-09-24,7830583,18639884,5161209,5473735,18084901,20452154,4396875,80039341
2025-09-23,7907314,18616672,5135391,5468454,18067614,20347880,4397043,79940368
2025-09-22,7839648,18777701,5116515,5462576,18040668,19949460,4419616,79606184
2025-09-19,7717877,18849994,5095607,5467609,18003872,19646613,4435090,79216662
2025-09-18,7724704,18788944,5066898,5448320,17975360,19571895,4405976,78982097
2025-09-17,7739778,18772842,5042837,5447912,17948269,19404884,4423771,78780293
2025-09-16,7876620,18762770,5019536,5445395,17922790,19298694,4447235,78773040
2025-09-15,7858075,18893197,5000668,5435775,17914253,18966824,4476113,78544905
2025-09-12,7709237,19020178,4982126,5428032,17882136,18749477,4506412,78277598
2025-09-11,7837545,18967743,4958867,5416476,17850666,18587036,4539208,78157541
2025-09-10,7965719,18959004,4933813,5410793,17822607,18554278,4555203,78201417
2025-09-09,7916764,18912331,4911924,5419821,17893710,18723494,4603986,78382030
2025-09-08,7873088,18988212,4889802,5413800,17852293,18846675,4634387,78498257
2025-09-05,7714533,18972188,4872152,5418137,17812504,19332235,4654739,78776488
2025-09-04,7574645,18828298,4846242,5400022,17778427,19813715,4638608,78879957
2025-09-03,7566119,18716950,4817102,5368542,17788023,20354776,4669179,79280691
2025-09-02,7781335,18701491,4792978,5362290,17742080,20766696,4693868,79840738
2025-09-01,7522412,18909295,4768028,5338302,17734967,20760987,4659153,79693144
2025-08-29,7438593,18955976,4746874,5319377,17721345,21123633,4616207,79922005
2025-08-28,7755513,18861624,4720736,5258949,17730652,20954332,4548272,79830078
2025-08-27,7892057,18746565,4690546,5249512,17704728,20721075,4465322,79469805
2025-08-26,7973589,18725025,4667254,5230249,17676248,20497486,4483011,79252862
2025-08-25,8056857,18845507,4642120,5224336,17650019,20656194,4448053,79523086
2025-08-22,7967188,18879887,4623129,5213705,17617491,20262084,4452946,79016430
2025-08-21,8112966,18829974,4600395,5192022,17592280,20047297,4398178,78773112
2025-08-20,8080502,18859596,4575098,5170136,17549330,19806613,4415828,78457103
2025-08-19,8191983,18816404,4551641,5163201,17510913,19743916,4453413,78431471
2025-08-18,8223343,19030337,4532155,5155323,17466174,19146367,4446780,78000479
2025-08-14,7946686,19113174,4516882,5153092,17402948,19001615,4368682,77503079
2025-08-13,8360921,18970352,4486117,5139337,17363148,19025446,4399946,77745267
2025-08-12,8400653,18965083,4464437,5119068,17319305,19185751,4401992,77856289
2025-08-11,8450439,19033771,4439734,5121558,17277106,18568707,4421796,77313111
2025-08-08,8218626,18941037,4420826,5130260,17285461,18914745,4416270,77327225
2025-08-07,8123772,18831387,4392231,5130380,17219780,19550052,4462710,77710312
2025-08-06,8197300,18898215,4369793,5132904,17169607,19962310,4450627,78180756
2025-08-05,8273055,18775938,4352066,5143618,17149722,20437783,4451223,78583405
2025-08-04,8221445,18763256,4332978,5160160,17095098,20520909,4462458,78556304
2025-08-01,8209765,18779544,4311194,5151555,17026015,20768309,4414584,78660966
2025-07-31,8074723,18622952,4300909,5136083,17034067,20844115,4378681,78391530
2025-07-30,8368163,18668166,4277264,4998140,17019608,20610105,4431294,78372740
2025-07-29,8382526,18485186,4251600,4997043,16984935,20417040,4440826,77959156
2025-07-28,8494655,18518164,4233206,4973167,16951440,20105114,4397682,77673428
2025-07-25,8504962,18616497,4214641,4988837,16886659,19638105,4383560,77233261
2025-07-24,8779626,18550992,4193369,4973412,16840767,19151991,4339306,76829463
2025-07-23,8924243,18483404,4169823,4957998,16799923,18926211,4318473,76580075
2025-07-22,9173161,18396849,4149282,4953361,16756140,18784977,4308001,76521771
2025-07-21,9365605,18514962,4128399,4950095,16692095,18329396,4316669,76297221
2025-07-18,9304723,18549533,4112724,4948854,16639700,18140668,4321362,76017564
2025-07-17,9322890,18455240,4092704,4937764,16599712,18006375,4322612,75737297
2025-07-16,9401078,18378451,4067324,4933963,16559073,17885027,4358250,75583166
2025-07-15,9348725,18361836,4043620,4928210,16525191,17746842,4345453,75299877
2025-07-14,9281547,18462928,4025645,4920149,16486530,17384334,4342941,74904074
2025-07-11,9070216,18470424,4007095,4920891,16421206,17246926,4339285,74476043
2025-07-10,9046782,18437746,3982799,4887442,16391014,17110604,4373927,74230314
2025-07-08,8740536,18297517,3959017,4890036,16440709,17340667,4349440,74017922
2025-07-07,8889035,18341259,3933464,4890873,16396286,17616385,4279591,74346893
2025-07-04,8706328,18304186,3914560,4921201,16350747,18200735,4183252,74581009
2025-07-03,8465279,18116312,3888722,4913570,16337213,18636060,4189504,74546660
2025-07-02,8501157,18002860,3862656,4914007,16333490,19317822,4180455,75112447
2025-07-01,8623411,18009533,3844776,4909250,16337335,19560310,4153669,75438284
2025-06-30,8468765,18216128,3832411,4883378,16312390,20126941,4097627,75937640
2025-06-27,8296699,18017068,3803099,4834306,16320156,19495119,3993639,74760086
2025-06-26,8421048,17825609,3774640,4793651,16307918,19348719,3936402,74407987
2025-06-25,8550073,17693441,3759267,4774995,16286838,19094168,3911598,74070380
2025-06-24,8713243,17546460,3735498,4758490,16259683,18927385,3816649,73757408
2025-06-23,8663210,17778634,3717763,4745202,16231562,18362419,3743601,73242391
2025-06-19,8639830,17724554,3658431,4729940,16139162,18733181,3702370,73327468
2025-06-18,8500849,17640715,3633403,4702189,16101407,17839426,3682519,72100508
2025-06-17,8513663,17768862,3611159,4698680,16066104,17233132,3712031,71603631
2025-06-13,8148658,17796341,3598008,4692946,16021719,17065999,3738903,71062574
2025-06-12,8217545,17724341,3573929,4676171,15985939,16977284,3732990,70888199
2025-06-11,8322375,17662285,3546096,4669736,15935152,16960251,3721313,70817208
2025-06-10,8186926,17548039,3523272,4655115,15916735,17427029,3727638,70984754
2025-06-09,7947649,17613063,3499172,4663467,15962888,17189793,3763720,70639752
2025-06-06,7625127,17551284,3484356,4668567,15888783,17421413,3763856,70403386
2025-06-05,7684577,17441359,3461588,4670709,15839813,18418695,3770569,71287310
2025-06-04,7509319,17329639,3437056,4663270,15838077,18742770,3790957,71311088
2025-06-03,7508898,17228141,3420599,4650249,15794502,19363906,3792626,71758921
2025-06-02,7472065,17400115,3402140,4637329,15786575,18969883,3749430,71417537
2025-05-30,7351484,17555220,3389616,4620775,15725004,19211525,3688114,71541738
2025-05-29,7521954,17447524,3364168,4587394,15721422,19350161,3500402,71493025
2025-05-28,7542170,17369814,3334411,4546416,15685427,19184105,3441662,71104005
2025-05-27,7542092,17287750,3313533,4528523,15650026,19007151,3428224,70757299
2025-05-26,7664264,17401105,3294856,4510643,15612379,18548680,3402308,70434235
2025-05-23,7444173,17411367,3269542,4496055,15556589,18302706,3391603,69872035
2025-05-22,7498602,17336697,3248292,4474444,15524743,18171261,3381643,69635682
2025-05-21,7479123,17312421,3226888,4458045,15476046,17953695,3364986,69271204
2025-05-20,7416157,17342225,3210363,4439760,15425152,17855895,3371507,69061059
2025-05-19,7482454,17391348,3189106,4425991,15381620,17371624,3400025,68642168
2025-05-16,7447245,17449930,3170083,4411616,15325798,17101927,3383967,68290566
2025-05-15,7418391,17412284,3149515,4396196,15277227,16960083,3418816,68032512
2025-05-14,7413735,17379783,3130452,4381984,15229070,16728283,3426710,67690017
2025-05-13,7586093,17336554,3111383,4371338,15174255,16815789,3436905,67832317
2025-05-12,7530269,17469106,3096479,4354136,15122511,16590258,3439950,67602709
2025-05-09,7340361,17402802,3079911,4357103,15128518,17183561,3413233,67905489
2025-05-08,7052539,17278554,3060035,4346345,15044492,17839573,3450702,68072240
2025-05-07,7045706,17150863,3037043,4329360,14989311,18207279,3465128,68224690
2025-05-06,7066725,17083333,3021775,4325519,14958509,18723527,3484751,68664139
2025-05-05,7098376,17238698,3006276,4324083,14907706,18788022,3471582,68834743
2025-04-30,6734704,17296396,2991127,4329475,14820958,18578974,3341580,68093214
2025-04-29,7050361,17211547,2955977,4220437,14808537,18601717,3285393,68133969
2025-04-28,7236612,17233888,2926290,4176289,14776046,18081051,3195830,67626006
2025-04-25,7022467,17300213,2904545,4152364,14701380,17806795,3190635,67078399
2025-04-24,7055201,17224200,2884493,4121040,14654563,17680359,3182554,66802410
2025-04-23,7103463,17162200,2861812,4097868,14604304,17429460,3108787,66367894
2025-04-22,7237609,17150678,2842705,4085631,14528584,17367895,3147624,66360726
2025-04-21,7034779,17327943,2823217,4070203,14474494,16858943,3131154,65720733
2025-04-16,6902927,17342184,2816138,4065958,14369202,16590979,3153752,65241140
2025-04-15,7009243,17299124,2791041,4051556,14302733,16489612,3176513,65119822
2025-04-14,6897270,17369219,2770949,4034799,14238187,16124955,3194701,64630080
2025-04-11,7028946,17337534,2752673,4026795,14164125,15952651,3178436,64441160
2025-04-10,7132956,17195990,2726929,3995871,14149986,15862794,3133569,64198095
2025-04-09,6851070,17087596,2722773,3995182,14126115,15845114,3156507,63784357
2025-04-08,6646127,16964820,2699668,3980497,14043565,16048882,3141870,63525429
