fecha,Adelantos,Documentos,Hipotecarios,Prendarios,Personales,Tarjetas,Otros,TOTAL
2025-10-20,191,13339,515,1027,0,466,2564,18102
2025-10-17,195,13394,512,1026,0,454,2572,18153
2025-10-16,196,13430,511,1026,0,444,2581,18188
2025-10-15,197,13443,510,1025,0,438,2601,18214
2025-10-14,196,13476,509,1025,0,443,2612,18261
2025-10-13,197,13431,510,1026,0,407,2591,18162
2025-10-09,198,13465,508,1026,0,508,2571,18276
2025-10-08,197,13386,507,1023,0,534,2566,18213
2025-10-07,198,13433,505,1019,0,586,2564,18305
2025-10-06,198,13478,505,1017,0,594,2565,18357
2025-10-03,199,13590,505,1012,0,690,2575,18571
2025-10-02,211,13604,504,1011,0,710,2550,18590
2025-10-01,214,13699,504,1011,0,724,2551,18703
2025-09-30,214,13703,501,1009,0,729,2554,18710
2025-09-29,224,13795,498,1006,0,710,2554,18787
2025-09-26,228,13736,497,1006,0,714,2547,18728
2025-09-25,221,13801,497,1005,0,698,2501,18723
2025-09-24,224,13725,495,969,0,693,2494,18600
2025-09-23,234,13700,491,969,0,675,2457,18526
2025-09-22,233,13695,488,970,0,633,2459,18478
2025-09-19,230,13679,486,970,0,607,2455,18427
2025-09-18,232,13661,484,968,0,603,2447,18395
2025-09-17,232,13656,482,968,0,587,2433,18358
2025-09-16,232,13591,481,968,0,572,2411,18255
2025-09-15,232,13541,480,968,0,530,2409,18160
2025-09-12,234,13518,480,968,0,505,2399,18104
2025-09-11,233,13554,479,970,0,485,2389,18110
2025-09-10,232,13546,477,970,0,466,2375,18066
2025-09-09,231,13603,477,971,0,452,2367,18101
2025-09-08,231,13594,472,970,0,414,2363,18044
2025-09-05,231,13592,469,970,0,436,2367,18065
2025-09-04,233,13571,467,970,0,475,2365,18081
2025-09-03,232,13562,466,969,0,526,2370,18125
2025-09-02,232,13548,465,969,0,566,2334,18114
2025-09-01,232,13533,462,969,0,553,2336,18085
2025-08-29,232,13511,466,965,0,624,2481,18279
2025-08-28,231,13389,460,965,0,644,2310,17999
2025-08-27,230,13327,458,964,0,635,2234,17848
2025-08-26,230,13307,455,962,0,640,2234,17828
2025-08-25,230,13189,456,961,0,614,2232,17682
2025-08-22,229,13145,456,961,0,609,2232,17632
2025-08-21,228,13121,453,960,0,593,2227,17582
