fecha,RIN precios 31/01,RIN,Encajes,Reservas Brutas,Swap China,Swap USA,Pases,Obligaciones OOII,Desembolsos FMI,Ajuste oro,Ajuste yuan,Ajuste DEGs
2025-12-30,-195.79,2051.42,0.0,41167.0,18556.58,0.0,3288.63,2618.85,14651.52,-3084.05,121.96,714.88
2025-12-29,-15288.05,-13106.75,15951.58,41894.0,18497.44,0.0,3288.63,2618.85,14644.25,-2994.95,106.04,707.61
2025-12-26,-15146.28,-12558.5,17128.9,43617.0,18497.44,0.0,3288.63,2618.85,14641.69,-3398.87,106.04,705.05
2025-12-23,-15588.2,-13098.14,17082.25,43012.0,18463.55,0.0,3288.63,2618.85,14656.86,-3307.19,96.91,720.22
2025-12-22,-15680.43,-13222.94,16844.32,42636.0,18463.55,2534.94,3288.63,113.71,14613.79,-3231.56,96.91,677.15
2025-12-19,-15656.72,-13349.49,16766.57,42418.0,18464.6,2534.94,3288.63,113.71,14599.04,-3066.82,97.2,662.4
2025-12-18,-15669.54,-13416.52,16735.55,42326.0,18458.04,2534.94,3288.63,113.71,14611.65,-3023.46,95.43,675.01
2025-12-17,-15519.97,-13244.55,16467.65,42226.0,18461.45,2534.94,3288.63,113.71,14604.17,-3039.3,96.35,667.53
2025-12-16,-15366.66,-13207.38,16466.62,42283.0,18447.57,2534.94,3288.63,113.71,14638.91,-2954.16,92.61,702.27
2025-12-15,-15486.46,-13307.1,16550.44,42238.0,18429.26,2534.94,3288.63,113.71,14628.11,-2958.52,87.68,691.47
2025-12-12,-15803.94,-13616.73,16562.21,41907.0,18419.08,2534.94,3288.63,108.93,14609.94,-2945.45,84.94,673.3
2025-12-11,-16720.43,-14553.04,17436.24,41824.0,18403.17,2534.94,3288.63,108.93,14605.13,-2916.54,80.66,668.49
2025-12-10,-17010.69,-14975.74,17746.58,41669.0,18404.99,2534.94,3288.63,108.93,14560.66,-2740.12,81.15,624.02
2025-12-09,-17018.17,-14964.92,17829.32,41750.0,18384.95,2534.94,3288.63,108.93,14568.14,-2760.52,75.75,631.51
2025-12-05,-17158.59,-15099.73,17974.5,41764.0,18383.91,2534.94,3288.63,106.65,14575.09,-2772.79,75.47,638.45
2025-12-04,-17257.3,-15225.22,18186.56,41890.0,18404.21,2534.94,3288.63,106.65,14594.23,-2770.61,80.94,657.59
2025-12-03,-17167.58,-15141.97,18130.76,41887.0,18387.55,2534.94,3288.63,106.65,14580.44,-2745.86,76.45,643.8
2025-12-02,-17213.15,-15175.69,18200.71,41883.0,18383.13,2534.94,3288.63,106.65,14544.63,-2720.72,75.26,607.99
2025-12-01,-17304.73,-15175.4,18084.4,41773.0,18374.3,2534.94,3288.63,106.65,14559.49,-2825.06,72.89,622.85
2025-11-26,-16043.31,-14016.4,17114.96,41899.0,18349.92,2537.59,3289.33,101.84,14521.75,-2678.35,66.32,585.12
2025-11-25,-16014.63,-14000.81,16456.83,41185.0,18304.19,2537.59,3289.68,101.84,14495.67,-2626.87,54.01,559.03
2025-11-20,-16025.83,-14149.42,16380.09,40921.0,18290.54,2537.59,3290.03,99.16,14473.01,-2463.12,50.33,536.37
2025-11-19,-16060.08,-14185.52,16224.01,40773.0,18290.54,2537.59,3290.38,99.16,14516.84,-2505.1,50.33,580.2
2025-11-18,-16045.44,-14207.09,16090.49,40622.0,18290.54,2537.59,3290.73,99.16,14520.58,-2472.62,50.33,583.94
2025-11-17,-16147.34,-14316.39,15896.55,40356.0,18311.92,2537.59,3291.08,99.16,14536.08,-2486.48,56.09,599.44
2025-11-14,-15824.62,-13953.42,15851.28,40643.0,18278.97,2537.59,3291.43,94.23,14542.92,-2524.7,47.22,606.28
2025-11-13,-15952.13,-13874.88,15836.52,40684.0,18260.22,2537.59,3291.79,94.23,14538.54,-2721.31,42.17,601.9
2025-11-12,-16034.33,-13903.73,15874.72,40675.0,18260.22,2537.59,3292.14,94.23,14519.83,-2755.96,42.17,583.19
2025-11-11,-15946.24,-14011.35,15804.53,40500.0,18260.22,2537.59,3292.49,94.23,14522.29,-2562.71,42.17,585.65
2025-11-10,-15989.02,-14044.07,15736.74,40401.0,18262.02,2537.59,3292.84,94.23,14521.65,-2572.61,42.66,585.01
2025-11-07,-15939.78,-14215.78,15735.71,40227.0,18262.02,2537.59,3293.19,94.23,14520.04,-2350.06,42.66,583.41
2025-11-05,-15107.38,-13374.13,15704.68,41015.0,18234.1,2537.59,3293.54,138.73,14480.5,-2312.24,35.14,543.86
2025-11-04,-15000.83,-13306.6,15527.92,40802.0,18126.55,2537.59,3293.89,138.73,14483.92,-2247.7,6.18,547.28
2025-11-03,-15185.63,-13438.58,15489.04,40785.0,18266.38,2537.59,3294.24,138.73,14497.6,-2351.84,43.83,560.96
2025-10-31,-15126.3,-13442.23,14048.86,39382.0,18284.62,2537.59,3294.59,138.73,14519.83,-2316.01,48.74,583.19
2025-10-30,-12434.05,-10736.96,14996.9,40494.0,18312.44,0.0,3248.94,135.54,14537.15,-2353.82,56.23,600.51
2025-10-29,-12524.14,-10897.74,15437.12,40764.0,18312.95,0.0,3203.28,135.54,14572.85,-2318.98,56.37,636.21
2025-10-28,-12462.72,-10879.64,15484.46,40771.0,18283.59,0.0,3157.62,135.54,14589.42,-2284.33,48.46,652.78
2025-10-27,-12545.78,-10878.17,15850.94,41059.0,18255.61,0.0,3111.97,135.54,14583.11,-2355.01,40.93,646.47
2025-10-24,-12550.41,-10625.12,15835.17,41215.0,18243.82,0.0,3066.32,135.54,14559.27,-2585.68,37.76,622.63
2025-10-23,-12515.54,-10569.25,15605.9,40989.0,18243.82,0.0,3020.66,135.54,14552.33,-2599.74,37.76,615.69
2025-10-22,-12443.31,-10662.74,15316.06,40570.0,18253.81,0.0,2975.0,133.08,14554.78,-2439.16,40.45,618.14
2025-10-21,-12541.41,-10696.79,15339.77,40540.0,18259.71,0.0,2929.35,133.08,14574.88,-2524.9,42.03,638.24
2025-10-20,-12576.45,-10257.52,15716.96,41316.0,18242.03,0.0,2883.7,133.08,14597.75,-3017.32,37.27,661.11
2025-10-17,-12414.56,-10409.32,15738.43,41170.0,18250.74,0.0,2838.04,133.08,14619.02,-2727.25,39.62,682.39
2025-10-16,-12361.89,-10154.05,16098.61,41710.0,18242.54,0.0,2792.38,133.08,14597.43,-2906.05,37.41,660.79
2025-10-15,-12127.06,-10095.27,16167.76,41741.0,18211.36,0.0,2746.73,133.08,14577.34,-2701.51,29.02,640.7
2025-10-14,-11912.01,-9937.59,16169.85,41904.0,18309.86,0.0,2701.08,128.25,14532.55,-2625.88,55.54,595.91
2025-10-09,-11510.15,-9939.46,16428.02,42057.0,18262.27,0.0,2609.76,128.25,14568.14,-2244.92,42.73,631.51
2025-10-08,-11550.22,-9790.86,16332.63,42067.0,18260.99,0.0,2564.11,128.25,14571.89,-2436.98,42.38,635.25
2025-10-07,-11096.12,-9499.5,16211.24,42222.0,18260.99,0.0,2518.46,128.25,14602.56,-2304.92,42.38,665.92
2025-10-06,-10778.97,-9236.18,16405.73,42629.0,18260.99,0.0,2472.8,124.91,14600.75,-2249.28,42.38,664.11
