fecha,Reservas Internacionales,Compra de Divisas,OOII,Otras Operaciones del Sector Público,Efectivo Mínimo,Otros (incl. pases pasivos en USD con el exterior)
2025-11-05,19806.2,21803.4,9059.3,-26794.5,6249.1,9488.9
2025-11-04,19592.6,21803.4,9091.0,-26794.3,6072.3,9420.2
2025-11-03,19575.6,21803.4,9098.2,-26794.2,6033.4,9434.8
2025-10-31,18172.3,21803.4,9098.2,-26759.1,4593.2,9436.6
2025-10-30,19284.3,21803.4,9116.6,-26773.5,5541.3,9596.6
2025-10-29,19554.7,21803.4,9119.7,-26772.7,5981.4,9422.9
2025-10-28,19561.9,21803.4,9119.7,-26771.9,6028.8,9381.9
2025-10-27,19850.2,21803.4,9104.0,-26778.9,6395.2,9326.4
2025-10-24,20005.8,21803.4,9105.3,-26757.4,6379.5,9475.1
2025-10-23,19779.6,21803.4,9105.3,-26757.4,6150.2,9478.1
2025-10-22,19361.0,21803.4,9108.3,-26757.1,5860.4,9346.1
2025-10-21,19330.7,21803.4,9108.3,-26757.1,5884.1,9292.1
2025-10-20,20106.8,21848.9,9108.0,-26739.5,6261.3,9628.2
2025-10-17,19960.8,21848.9,9108.0,-26700.7,6282.7,9421.9
2025-10-16,20500.3,21848.9,9138.7,-26699.9,6642.9,9569.8
2025-10-15,20531.6,21848.9,9140.1,-26699.8,6712.0,9530.4
2025-10-14,20694.8,21848.9,9364.2,-26683.5,6714.1,9451.1
2025-10-13,21048.9,21848.9,9364.2,-26679.5,7019.0,9496.4
2025-10-09,20847.3,21848.9,9364.2,-26679.5,6972.1,9341.6
2025-10-08,20857.6,21848.9,9364.2,-26671.2,6876.7,9439.0
2025-10-07,21013.1,21848.9,9364.2,-26319.1,6755.3,9363.8
2025-10-06,21420.0,21848.9,9364.2,-26039.1,6949.8,9296.2
2025-10-03,21492.2,21848.9,9368.2,-25552.1,6584.9,9242.2
2025-10-02,21120.8,21848.9,9368.2,-25313.8,6022.0,9195.4
2025-10-01,21020.3,21848.9,9268.6,-25208.0,5795.6,9315.2
2025-09-30,19164.3,21848.9,9299.4,-24695.3,3325.1,9386.2
2025-09-29,19909.2,21848.9,9330.3,-24626.8,3930.3,9426.5
2025-09-26,19990.2,21848.9,9492.2,-24998.3,4276.6,9370.9
2025-09-25,18145.4,21848.9,9531.9,-26301.3,3797.4,9268.6
2025-09-24,17822.5,21848.9,9528.0,-26562.5,3774.5,9233.7
2025-09-23,17967.7,21848.9,9528.0,-26543.5,3774.7,9359.7
2025-09-22,17906.9,21848.9,9528.0,-26628.2,3752.5,9405.7
2025-09-19,18054.5,21848.9,9512.1,-26612.2,3964.3,9341.3
2025-09-18,18199.6,22527.1,9512.1,-26612.2,3544.5,9228.1
2025-09-17,18571.8,22917.0,9512.1,-26593.2,3464.6,9271.3
2025-09-16,18670.1,22959.0,9512.1,-26615.0,3518.7,9295.3
2025-09-15,18639.1,22959.0,9512.0,-26614.9,3508.2,9274.7
2025-09-12,19104.1,22959.0,9930.8,-26604.6,3587.9,9231.0
2025-09-11,19156.0,22959.0,9930.8,-26604.6,3650.4,9220.4
2025-09-10,19195.1,22959.0,9930.8,-26604.6,3709.1,9200.7
2025-09-09,19301.6,22959.0,9930.8,-26604.4,3798.3,9217.8
2025-09-08,19341.6,22959.0,9930.8,-26577.7,3775.7,9253.7
2025-09-05,19322.0,22959.0,9917.3,-26542.3,3766.8,9221.2
2025-09-04,19169.0,22959.0,9917.2,-26257.3,3749.8,8800.2
2025-09-03,19531.6,22959.0,9903.0,-26198.9,3737.9,9130.6
2025-09-02,19553.9,22959.0,9903.0,-26233.1,3856.0,9069.0
2025-09-01,18816.6,22959.0,9943.0,-26035.0,2903.0,9046.5
2025-08-29,18776.9,22959.0,9943.0,-26018.5,2871.7,9021.6
2025-08-28,19754.0,22959.0,9940.9,-25995.1,3801.5,9047.7
2025-08-27,20046.0,22959.0,9940.5,-26032.8,4235.8,8943.5
2025-08-26,19975.0,22959.0,9941.0,-26006.3,4149.8,8931.4
2025-08-25,20235.7,22959.0,9941.0,-25956.8,4384.9,8907.5
2025-08-22,20295.4,22959.0,9945.2,-25967.2,4489.0,8869.4
2025-08-21,20275.9,22959.0,9945.2,-25942.4,4559.7,8754.3
2025-08-20,20482.3,22959.0,9954.0,-25824.7,4585.9,8808.1
2025-08-19,20496.1,22959.0,9954.0,-25800.7,4643.3,8740.5
2025-08-18,20548.0,22959.0,9954.0,-25822.1,4702.6,8754.5
2025-08-14,20698.3,22959.0,9954.0,-25768.6,4756.8,8797.1
2025-08-13,20842.8,22959.0,10009.1,-25761.5,4809.0,8827.1
2025-08-12,20781.9,22959.0,9987.2,-25758.2,4828.2,8765.6
2025-08-11,20781.9,22959.0,9986.4,-25726.0,4815.9,8746.7
2025-08-08,20906.7,22959.0,9995.7,-23695.1,4828.8,6818.3
2025-08-07,20473.6,22959.0,9948.3,-23695.1,4854.2,6407.1
2025-08-06,20933.5,22959.0,10000.1,-23695.1,4888.4,6781.0
2025-08-05,21511.1,22959.0,10707.8,-23682.7,4716.4,6810.6
2025-08-04,21829.5,22959.0,10708.9,-23682.7,5015.9,6828.4
2025-08-01,19824.9,22959.0,8640.2,-23680.0,5108.5,6797.1
2025-07-31,17656.7,22959.0,8640.2,-23680.0,3057.8,6679.6
2025-07-30,19556.0,22959.0,8705.5,-23680.0,4853.5,6717.9
2025-07-29,20035.8,22959.0,8705.5,-23651.0,5245.0,6777.2
2025-07-28,18936.8,22959.0,7508.0,-23650.1,5379.7,6740.2
2025-07-25,19073.9,22959.0,7508.0,-23672.2,5530.6,6748.4
2025-07-24,19222.4,22959.0,7508.0,-23672.2,5610.4,6817.1
2025-07-23,19149.1,22959.0,7507.1,-23702.2,5541.2,6843.9
2025-07-22,19369.2,22959.0,7507.1,-23715.6,5700.9,6917.7
2025-07-21,19443.0,22959.0,7507.1,-23715.5,5766.8,6925.6
2025-07-18,19183.9,22959.0,7507.7,-23741.1,5604.8,6853.5
2025-07-17,18626.6,22959.0,7507.7,-24368.5,5705.8,6822.5
2025-07-16,18344.5,22959.0,7507.7,-24408.5,5414.8,6871.4
2025-07-15,17851.3,22959.0,7507.7,-24454.7,5071.1,6768.1
2025-07-14,17937.4,22959.0,7573.9,-24626.5,5159.3,6871.7
2025-07-11,17850.4,22959.0,7574.4,-24675.7,5117.0,6875.7
2025-07-10,17511.3,22959.0,7574.4,-24675.7,5004.9,6648.8
2025-07-08,17918.0,22959.0,7574.4,-23022.3,3712.1,6694.8
2025-07-07,20512.1,22959.0,7574.4,-20467.6,3735.2,6711.1
2025-07-04,20537.5,22959.0,7574.4,-20457.0,3714.0,6747.1
2025-07-03,20528.7,22959.0,7574.4,-20457.0,3727.7,6724.6
2025-07-02,20449.0,22959.0,7574.4,-20657.0,3792.4,6780.2
2025-07-01,20476.3,22959.0,7574.4,-20657.0,3759.0,6840.8
2025-06-30,18763.3,22959.0,7589.6,-20657.0,2048.6,6823.0
2025-06-27,20250.8,22959.0,7591.7,-20656.3,3426.1,6930.3
2025-06-26,20345.6,22959.0,7591.7,-20742.4,3512.7,7024.6
2025-06-25,20207.9,22959.0,7591.6,-20766.8,3462.9,6961.3
2025-06-24,20002.6,22959.0,7591.6,-20762.1,3227.6,6986.5
2025-06-23,19685.0,22959.0,7594.2,-20756.9,3021.9,6866.7
