fecha,Reservas Internacionales,Compra de Divisas,OOII,Otras Operaciones del Sector Público,Efectivo Mínimo,Otros (incl. pases pasivos en USD con el exterior)
2025-11-19,151.2,0.0,0.0,36.4,133.5,-18.8
2025-11-18,265.4,0.0,-17.1,48.2,193.9,40.3
2025-11-17,-287.1,0.0,-291.9,-11.4,45.3,-29.1
2025-11-14,-40.5,0.0,0.4,97.2,14.8,-152.8
2025-11-13,8.8,0.0,0.0,-0.0,-38.2,47.0
2025-11-12,174.8,0.0,2.1,19.9,70.1,82.7
2025-11-11,99.4,0.0,0.0,0.0,67.8,31.6
2025-11-10,173.6,0.0,0.0,-1.3,1.0,173.9
2025-11-07,-788.4,0.0,-859.1,-0.0,31.0,39.6
2025-11-05,213.6,0.0,-31.7,-0.2,176.8,68.7
2025-11-04,17.0,0.0,-7.2,-0.0,38.9,-14.6
2025-11-03,1403.3,0.0,0.0,-35.1,1440.2,-1.8
2025-10-31,-1112.0,0.0,-18.3,14.4,-948.0,-160.1
2025-10-30,-270.4,0.0,-3.1,-0.8,-440.1,173.7
2025-10-29,-7.2,0.0,0.0,-0.8,-47.3,41.0
2025-10-28,-288.3,0.0,15.7,7.0,-366.5,55.5
2025-10-27,-155.6,0.0,-1.2,-21.5,15.8,-148.7
2025-10-24,226.2,0.0,0.0,-0.0,229.3,-3.1
2025-10-23,418.6,0.0,-3.0,-0.3,289.8,132.1
2025-10-22,30.3,0.0,0.0,-0.0,-23.7,54.0
2025-10-21,-776.1,-45.5,0.3,-17.7,-377.2,-336.1
2025-10-20,146.0,0.0,0.0,-38.8,-21.4,206.3
2025-10-17,-539.6,0.0,-30.7,-0.8,-360.2,-147.9
2025-10-16,-31.2,0.0,-1.4,-0.1,-69.1,39.4
2025-10-15,-163.2,0.0,-224.1,-16.3,-2.1,79.3
2025-10-14,-354.1,0.0,0.0,-4.0,-304.9,-45.3
2025-10-13,201.7,0.0,0.0,0.0,46.9,154.8
2025-10-09,-10.3,0.0,0.0,-8.3,95.4,-97.4
2025-10-08,-155.5,0.0,0.0,-352.1,121.4,75.2
2025-10-07,-406.9,0.0,0.0,-280.0,-194.5,67.6
2025-10-06,-72.2,0.0,-4.0,-487.1,364.8,54.0
2025-10-03,371.4,0.0,0.0,-238.3,562.9,46.8
2025-10-02,100.5,0.0,99.6,-105.8,226.4,-119.8
2025-10-01,1856.0,0.0,-30.8,-512.7,2470.5,-71.0
2025-09-30,-744.9,0.0,-30.9,-68.5,-605.2,-40.2
2025-09-29,-81.1,0.0,-161.9,371.5,-346.2,55.6
2025-09-26,1844.8,0.0,-39.7,1303.0,479.2,102.3
2025-09-25,322.9,0.0,3.9,261.2,22.8,35.0
2025-09-24,-145.2,0.0,0.0,-19.0,-0.1,-126.1
2025-09-23,60.8,0.0,0.0,84.7,22.1,-46.0
2025-09-22,-147.6,0.0,15.9,-16.0,-211.8,64.4
2025-09-19,-145.2,-678.2,0.0,0.0,419.8,113.2
2025-09-18,-372.2,-389.9,0.0,-19.0,79.9,-43.2
2025-09-17,-98.2,-42.0,0.0,21.8,-54.1,-24.0
2025-09-16,31.0,0.0,0.2,-0.1,10.4,20.5
2025-09-15,-465.1,0.0,-418.9,-10.3,-79.7,43.8
2025-09-12,-51.9,0.0,0.0,-0.0,-62.4,10.5
2025-09-11,-39.1,0.0,0.0,-0.0,-58.7,19.7
2025-09-10,-106.4,0.0,0.0,-0.2,-89.2,-17.1
2025-09-09,-40.1,0.0,0.0,-26.7,22.5,-35.9
2025-09-08,19.6,0.0,13.6,-35.4,9.0,32.5
2025-09-05,153.0,0.0,0.1,-285.0,16.9,421.0
2025-09-04,-362.6,0.0,14.2,-58.4,12.0,-330.4
2025-09-03,-22.3,0.0,0.0,34.2,-118.2,61.6
2025-09-02,737.4,0.0,-40.0,-198.2,953.1,22.5
2025-09-01,39.7,0.0,0.0,-16.5,31.3,24.9
2025-08-29,-977.2,0.0,2.1,-23.4,-929.8,-26.1
2025-08-28,-291.9,0.0,0.4,37.8,-434.3,104.2
2025-08-27,71.0,0.0,-0.5,-26.5,85.9,12.0
2025-08-26,-260.7,0.0,0.0,-49.5,-235.1,23.9
2025-08-25,-59.7,0.0,-4.2,10.4,-104.1,38.1
2025-08-22,19.5,0.0,0.0,-24.9,-70.7,115.0
2025-08-21,-206.4,0.0,-8.8,-117.6,-26.2,-53.8
2025-08-20,-13.7,0.0,0.0,-24.0,-57.3,67.6
2025-08-19,-51.9,0.0,0.0,21.4,-59.3,-13.9
2025-08-18,-150.3,0.0,0.0,-53.5,-54.2,-42.6
2025-08-14,-144.5,0.0,-55.2,-7.1,-52.2,-30.0
2025-08-13,60.9,0.0,21.9,-3.3,-19.2,61.5
2025-08-12,-0.1,0.0,0.8,-32.2,12.3,19.0
2025-08-11,-124.8,0.0,-9.3,-2030.9,-12.9,1928.3
2025-08-08,433.1,0.0,47.4,-0.0,-25.5,411.2
2025-08-07,-459.8,0.0,-51.8,0.0,-34.2,-373.8
2025-08-06,-577.7,0.0,-707.7,-12.4,172.0,-29.6
2025-08-05,-318.4,0.0,-1.1,-0.0,-299.4,-17.8
2025-08-04,2004.6,0.0,2068.6,-2.7,-92.7,31.3
2025-08-01,2168.2,0.0,0.0,0.0,2050.7,117.5
2025-07-31,-1899.3,0.0,-65.3,-0.0,-1795.7,-38.4
2025-07-30,-479.7,0.0,0.0,-29.0,-391.5,-59.3
2025-07-29,1098.9,0.0,1197.5,-0.9,-134.7,37.0
2025-07-28,-137.0,0.0,0.0,22.1,-150.9,-8.2
2025-07-25,-148.6,0.0,0.0,-0.0,-79.8,-68.7
2025-07-24,73.3,0.0,0.9,30.0,69.2,-26.8
2025-07-23,-220.0,0.0,0.0,13.4,-159.6,-73.8
2025-07-22,-73.9,0.0,0.0,-0.1,-65.9,-7.9
2025-07-21,259.1,0.0,-0.6,25.6,162.0,72.1
2025-07-18,557.4,0.0,0.0,627.4,-101.1,31.0
2025-07-17,282.1,0.0,0.0,40.0,291.0,-48.9
2025-07-16,493.2,0.0,0.0,46.2,343.7,103.3
2025-07-15,-86.1,0.0,-66.2,171.8,-88.2,-103.5
2025-07-14,87.0,0.0,-0.5,49.3,42.3,-4.0
2025-07-11,339.1,0.0,0.0,0.0,112.1,227.0
2025-07-10,-406.7,0.0,0.0,-1653.5,1292.8,-46.0
2025-07-08,-2594.1,0.0,0.0,-2554.7,-23.1,-16.3
2025-07-07,-25.4,0.0,0.0,-10.6,21.2,-36.0
